,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
114,2021,3,San Luis,117.716,148,117.864
115,2021,3,Santa Cruz,48.779,197,48.976
116,2021,3,Santa Fe,841.433,151,841.584
117,2021,3,Santiago Del Estero,115.457,1,115.458
118,2021,3,Tierra Del Fuego,49.934,289,50.223
119,2021,3,Tucumán,232.447,25,232.472
120,2021,2,Buenos Aires,4.127.167,5.184,4.132.351
121,2021,2,Capital Federal,1.398.747,1.608,1.400.355
122,2021,2,Catamarca,55.743,1,55.744
123,2021,2,Chaco,140.726,3,140.729
124,2021,2,Chubut,138.412,825,139.237
125,2021,2,Córdoba,930.818,62,930.880
126,2021,2,Corrientes,129.498,3,129.501
127,2021,2,Entre Ríos,257.617,15,257.632
128,2021,2,Formosa,51.551,- 0,51.551
129,2021,2,Jujuy,111.848,- 0,111.848
130,2021,2,La Pampa,97.551,116,97.667
131,2021,2,La Rioja,81.599,3,81.602
132,2021,2,Mendoza,229.052,619,229.671
133,2021,2,Misiones,156.176,- 0,156.176
134,2021,2,Neuquén,137.877,373,138.250
135,2021,2,Río Negro,143.583,501,144.084
136,2021,2,Salta,191.637,2,191.639
137,2021,2,San Juan,78.677,256,78.933
138,2021,2,San Luis,122.670,148,122.818
139,2021,2,Santa Cruz,48.785,197,48.982
140,2021,2,Santa Fe,840.449,151,840.600
141,2021,2,Santiago Del Estero,114.089,1,114.090
142,2021,2,Tierra Del Fuego,35.404,289,35.693
143,2021,2,Tucumán,233.026,25,233.051
144,2021,1,Buenos Aires,4.054.936,5.066,4.060.002
145,2021,1,Capital Federal,1.378.283,1.390,1.379.673
146,2021,1,Catamarca,51.967,1,51.968
147,2021,1,Chaco,139.767,3,139.770
148,2021,1,Chubut,131.515,825,132.340
149,2021,1,Córdoba,910.826,55,910.881
150,2021,1,Corrientes,126.622,3,126.625
151,2021,1,Entre Ríos,251.950,13,251.963
152,2021,1,Formosa,50.686,- 0,50.686
153,2021,1,Jujuy,110.456,- 0,110.456
154,2021,1,La Pampa,96.989,116,97.105
155,2021,1,La Rioja,52.625,3,52.628
156,2021,1,Mendoza,218.308,615,218.923
157,2021,1,Misiones,149.387,- 0,149.387
158,2021,1,Neuquén,132.862,373,133.235
159,2021,1,Río Negro,140.667,501,141.168
160,2021,1,Salta,187.572,2,187.574
161,2021,1,San Juan,78.011,256,78.267
162,2021,1,San Luis,119.006,148,119.154
163,2021,1,Santa Cruz,45.868,197,46.065
164,2021,1,Santa Fe,825.990,137,826.127
165,2021,1,Santiago Del Estero,111.640,1,111.641
166,2021,1,Tierra Del Fuego,40.133,289,40.422
167,2021,1,Tucumán,231.890,22,231.912
168,2020,4,Buenos Aires,4.028.195,5.066,4.033.261
169,2020,4,Capital Federal,1.378.140,1.390,1.379.530
170,2020,4,Catamarca,52.395,1,52.396
171,2020,4,Chaco,139.088,3,139.091
172,2020,4,Chubut,129.749,825,130.574
173,2020,4,Córdoba,902.646,55,902.701
174,2020,4,Corrientes,125.656,3,125.659
175,2020,4,Entre Ríos,247.368,13,247.381
176,2020,4,Formosa,50.206,- 0,50.206
177,2020,4,Jujuy,105.851,- 0,105.851
178,2020,4,La Pampa,96.779,116,96.895
179,2020,4,La Rioja,52.775,3,52.778
180,2020,4,Mendoza,214.838,615,215.453
181,2020,4,Misiones,147.161,- 0,147.161
182,2020,4,Neuquén,132.762,373,133.135
183,2020,4,Río Negro,140.709,501,141.210
184,2020,4,Salta,187.388,2,187.390
185,2020,4,San Juan,72.340,256,72.596
186,2020,4,San Luis,119.287,148,119.435
187,2020,4,Santa Cruz,40.477,197,40.674
188,2020,4,Santa Fe,820.676,137,820.813
189,2020,4,Santiago Del Estero,106.668,1,106.669
190,2020,4,Tierra Del Fuego,39.325,289,39.614
191,2020,4,Tucumán,231.067,22,231.089
192,2020,3,Buenos Aires,3.932.211,5.066,3.937.277
193,2020,3,Capital Federal,1.371.285,1.390,1.372.675
194,2020,3,Catamarca,49.903,1,49.904
195,2020,3,Chaco,133.951,3,133.954
196,2020,3,Chubut,129.202,825,130.027
197,2020,3,Córdoba,867.417,55,867.472
198,2020,3,Corrientes,123.388,3,123.391
199,2020,3,Entre Ríos,241.482,13,241.495
200,2020,3,Formosa,49.209,- 0,49.209
201,2020,3,Jujuy,106.728,- 0,106.728
202,2020,3,La Pampa,93.619,116,93.735
203,2020,3,La Rioja,52.613,3,52.616
204,2020,3,Mendoza,207.173,615,207.788
205,2020,3,Misiones,143.186,- 0,143.186
206,2020,3,Neuquén,128.862,373,129.235
207,2020,3,Río Negro,130.966,501,131.467
208,2020,3,Salta,180.844,2,180.846
209,2020,3,San Juan,77.071,256,77.327
210,2020,3,San Luis,116.417,148,116.565
211,2020,3,Santa Cruz,39.084,197,39.281
212,2020,3,Santa Fe,802.861,137,802.998
213,2020,3,Santiago Del Estero,105.491,1,105.492
214,2020,3,Tierra Del Fuego,39.366,289,39.655
215,2020,3,Tucumán,223.854,22,223.876
216,2020,2,Buenos Aires,3.772.480,5.066,3.777.546
217,2020,2,Capital Federal,1.356.431,1.390,1.357.821
218,2020,2,Catamarca,47.975,1,47.976
219,2020,2,Chaco,128.129,3,128.132
220,2020,2,Chubut,107.831,825,108.656
221,2020,2,Córdoba,836.413,55,836.468
222,2020,2,Corrientes,118.863,3,118.866
223,2020,2,Entre Ríos,234.100,13,234.113
224,2020,2,Formosa,47.932,- 0,47.932
225,2020,2,Jujuy,94.316,- 0,94.316
226,2020,2,La Pampa,89.693,116,89.809
227,2020,2,La Rioja,52.152,3,52.155
228,2020,2,Mendoza,200.569,615,201.184
229,2020,2,Misiones,140.340,- 0,140.340
230,2020,2,Neuquén,125.799,373,126.172
231,2020,2,Río Negro,128.985,501,129.486
232,2020,2,Salta,177.760,2,177.762
