,Año,Trimestre,Provincia,Accesos por cada 100 hab,Year_Quarter
123,2021,2,Chaco,12,2021-04-01
124,2021,2,Chubut,22,2021-04-01
125,2021,2,Córdoba,25,2021-04-01
126,2021,2,Corrientes,11,2021-04-01
127,2021,2,Entre Ríos,18,2021-04-01
128,2021,2,Formosa,8,2021-04-01
129,2021,2,Jujuy,14,2021-04-01
130,2021,2,La Pampa,27,2021-04-01
131,2021,2,La Rioja,20,2021-04-01
132,2021,2,Mendoza,11,2021-04-01
133,2021,2,Misiones,12,2021-04-01
134,2021,2,Neuquén,21,2021-04-01
135,2021,2,Río Negro,19,2021-04-01
136,2021,2,Salta,13,2021-04-01
137,2021,2,San Juan,10,2021-04-01
138,2021,2,San Luis,24,2021-04-01
139,2021,2,Santa Cruz,13,2021-04-01
140,2021,2,Santa Fe,24,2021-04-01
141,2021,2,Santiago Del Estero,12,2021-04-01
142,2021,2,Tierra Del Fuego,20,2021-04-01
143,2021,2,Tucumán,14,2021-04-01
144,2021,1,Buenos Aires,23,2021-01-01
145,2021,1,Capital Federal,45,2021-01-01
146,2021,1,Catamarca,12,2021-01-01
147,2021,1,Chaco,12,2021-01-01
148,2021,1,Chubut,21,2021-01-01
149,2021,1,Córdoba,24,2021-01-01
150,2021,1,Corrientes,11,2021-01-01
151,2021,1,Entre Ríos,18,2021-01-01
152,2021,1,Formosa,8,2021-01-01
153,2021,1,Jujuy,14,2021-01-01
154,2021,1,La Pampa,27,2021-01-01
155,2021,1,La Rioja,13,2021-01-01
156,2021,1,Mendoza,11,2021-01-01
157,2021,1,Misiones,12,2021-01-01
158,2021,1,Neuquén,20,2021-01-01
159,2021,1,Río Negro,19,2021-01-01
160,2021,1,Salta,13,2021-01-01
161,2021,1,San Juan,10,2021-01-01
162,2021,1,San Luis,23,2021-01-01
163,2021,1,Santa Cruz,12,2021-01-01
164,2021,1,Santa Fe,23,2021-01-01
165,2021,1,Santiago Del Estero,11,2021-01-01
166,2021,1,Tierra Del Fuego,23,2021-01-01
167,2021,1,Tucumán,14,2021-01-01
168,2020,4,Buenos Aires,23,2020-10-01
169,2020,4,Capital Federal,45,2020-10-01
170,2020,4,Catamarca,13,2020-10-01
171,2020,4,Chaco,12,2020-10-01
172,2020,4,Chubut,21,2020-10-01
173,2020,4,Córdoba,24,2020-10-01
174,2020,4,Corrientes,11,2020-10-01
175,2020,4,Entre Ríos,18,2020-10-01
176,2020,4,Formosa,8,2020-10-01
177,2020,4,Jujuy,14,2020-10-01
178,2020,4,La Pampa,27,2020-10-01
179,2020,4,La Rioja,13,2020-10-01
180,2020,4,Mendoza,11,2020-10-01
181,2020,4,Misiones,12,2020-10-01
182,2020,4,Neuquén,20,2020-10-01
183,2020,4,Río Negro,19,2020-10-01
184,2020,4,Salta,13,2020-10-01
185,2020,4,San Juan,9,2020-10-01
186,2020,4,San Luis,23,2020-10-01
187,2020,4,Santa Cruz,11,2020-10-01
188,2020,4,Santa Fe,23,2020-10-01
189,2020,4,Santiago Del Estero,11,2020-10-01
190,2020,4,Tierra Del Fuego,23,2020-10-01
191,2020,4,Tucumán,14,2020-10-01
192,2020,3,Buenos Aires,22,2020-07-01
193,2020,3,Capital Federal,45,2020-07-01
194,2020,3,Catamarca,12,2020-07-01
195,2020,3,Chaco,11,2020-07-01
196,2020,3,Chubut,21,2020-07-01
197,2020,3,Córdoba,23,2020-07-01
198,2020,3,Corrientes,11,2020-07-01
199,2020,3,Entre Ríos,17,2020-07-01
200,2020,3,Formosa,8,2020-07-01
201,2020,3,Jujuy,14,2020-07-01
202,2020,3,La Pampa,26,2020-07-01
203,2020,3,La Rioja,13,2020-07-01
204,2020,3,Mendoza,10,2020-07-01
205,2020,3,Misiones,11,2020-07-01
206,2020,3,Neuquén,19,2020-07-01
207,2020,3,Río Negro,18,2020-07-01
208,2020,3,Salta,13,2020-07-01
209,2020,3,San Juan,10,2020-07-01
210,2020,3,San Luis,23,2020-07-01
211,2020,3,Santa Cruz,11,2020-07-01
212,2020,3,Santa Fe,23,2020-07-01
213,2020,3,Santiago Del Estero,11,2020-07-01
214,2020,3,Tierra Del Fuego,23,2020-07-01
215,2020,3,Tucumán,13,2020-07-01
216,2020,2,Buenos Aires,22,2020-04-01
217,2020,2,Capital Federal,44,2020-04-01
218,2020,2,Catamarca,12,2020-04-01
219,2020,2,Chaco,11,2020-04-01
220,2020,2,Chubut,18,2020-04-01
221,2020,2,Córdoba,22,2020-04-01
222,2020,2,Corrientes,11,2020-04-01
223,2020,2,Entre Ríos,17,2020-04-01
224,2020,2,Formosa,8,2020-04-01
225,2020,2,Jujuy,12,2020-04-01
226,2020,2,La Pampa,25,2020-04-01
227,2020,2,La Rioja,13,2020-04-01
228,2020,2,Mendoza,10,2020-04-01
229,2020,2,Misiones,11,2020-04-01
230,2020,2,Neuquén,19,2020-04-01
231,2020,2,Río Negro,17,2020-04-01
232,2020,2,Salta,12,2020-04-01
233,2020,2,San Juan,9,2020-04-01
234,2020,2,San Luis,22,2020-04-01
235,2020,2,Santa Cruz,11,2020-04-01
236,2020,2,Santa Fe,22,2020-04-01
237,2020,2,Santiago Del Estero,11,2020-04-01
238,2020,2,Tierra Del Fuego,23,2020-04-01
239,2020,2,Tucumán,13,2020-04-01
240,2020,1,Buenos Aires,21,2020-01-01
241,2020,1,Capital Federal,44,2020-01-01
242,2020,1,Catamarca,10,2020-01-01
243,2020,1,Chaco,10,2020-01-01
244,2020,1,Chubut,16,2020-01-01
245,2020,1,Córdoba,22,2020-01-01
246,2020,1,Corrientes,10,2020-01-01
247,2020,1,Entre Ríos,17,2020-01-01
248,2020,1,Formosa,8,2020-01-01
249,2020,1,Jujuy,12,2020-01-01
250,2020,1,La Pampa,25,2020-01-01
251,2020,1,La Rioja,12,2020-01-01
252,2020,1,Mendoza,9,2020-01-01
253,2020,1,Misiones,11,2020-01-01
254,2020,1,Neuquén,18,2020-01-01
255,2020,1,Río Negro,17,2020-01-01
256,2020,1,Salta,12,2020-01-01
257,2020,1,San Juan,8,2020-01-01
258,2020,1,San Luis,22,2020-01-01
259,2020,1,Santa Cruz,11,2020-01-01
260,2020,1,Santa Fe,22,2020-01-01
261,2020,1,Santiago Del Estero,11,2020-01-01
262,2020,1,Tierra Del Fuego,23,2020-01-01
263,2020,1,Tucumán,12,2020-01-01
264,2019,4,Buenos Aires,21,2019-10-01
265,2019,4,Capital Federal,44,2019-10-01
266,2019,4,Catamarca,9,2019-10-01
267,2019,4,Chaco,10,2019-10-01
268,2019,4,Chubut,16,2019-10-01
269,2019,4,Córdoba,22,2019-10-01
270,2019,4,Corrientes,10,2019-10-01
271,2019,4,Entre Ríos,17,2019-10-01
272,2019,4,Formosa,8,2019-10-01
273,2019,4,Jujuy,12,2019-10-01
274,2019,4,La Pampa,25,2019-10-01
275,2019,4,La Rioja,13,2019-10-01
276,2019,4,Mendoza,9,2019-10-01
277,2019,4,Misiones,11,2019-10-01
278,2019,4,Neuquén,18,2019-10-01
279,2019,4,Río Negro,17,2019-10-01
280,2019,4,Salta,12,2019-10-01
281,2019,4,San Juan,8,2019-10-01
282,2019,4,San Luis,21,2019-10-01
283,2019,4,Santa Cruz,11,2019-10-01
284,2019,4,Santa Fe,22,2019-10-01
285,2019,4,Santiago Del Estero,11,2019-10-01
286,2019,4,Tierra Del Fuego,24,2019-10-01
287,2019,4,Tucumán,12,2019-10-01
288,2019,3,Buenos Aires,23,2019-07-01
289,2019,3,Capital Federal,47,2019-07-01
290,2019,3,Catamarca,8,2019-07-01
291,2019,3,Chaco,10,2019-07-01
292,2019,3,Chubut,15,2019-07-01
293,2019,3,Córdoba,21,2019-07-01
294,2019,3,Corrientes,10,2019-07-01
295,2019,3,Entre Ríos,17,2019-07-01
296,2019,3,Formosa,8,2019-07-01
297,2019,3,Jujuy,11,2019-07-01
298,2019,3,La Pampa,26,2019-07-01
299,2019,3,La Rioja,13,2019-07-01
300,2019,3,Mendoza,11,2019-07-01
301,2019,3,Misiones,11,2019-07-01
302,2019,3,Neuquén,19,2019-07-01
303,2019,3,Río Negro,20,2019-07-01
304,2019,3,Salta,11,2019-07-01
305,2019,3,San Juan,9,2019-07-01
306,2019,3,San Luis,24,2019-07-01
307,2019,3,Santa Cruz,11,2019-07-01
308,2019,3,Santa Fe,22,2019-07-01
309,2019,3,Santiago Del Estero,14,2019-07-01
310,2019,3,Tierra Del Fuego,29,2019-07-01
311,2019,3,Tucumán,10,2019-07-01
312,2019,2,Buenos Aires,22,2019-04-01
313,2019,2,Capital Federal,46,2019-04-01
314,2019,2,Catamarca,8,2019-04-01
315,2019,2,Chaco,9,2019-04-01
316,2019,2,Chubut,14,2019-04-01
317,2019,2,Córdoba,21,2019-04-01
318,2019,2,Corrientes,10,2019-04-01
319,2019,2,Entre Ríos,17,2019-04-01
320,2019,2,Formosa,8,2019-04-01
321,2019,2,Jujuy,11,2019-04-01
322,2019,2,La Pampa,25,2019-04-01
323,2019,2,La Rioja,13,2019-04-01
324,2019,2,Mendoza,11,2019-04-01
325,2019,2,Misiones,11,2019-04-01
326,2019,2,Neuquén,19,2019-04-01
327,2019,2,Río Negro,19,2019-04-01
328,2019,2,Salta,10,2019-04-01
